dataset,pdb_id,resolution,release_year,target,ligand_name
core,1uto,1.15,2004,2.27,PEA
core,1ps3,1.80,2003,2.28,KIF
core,4ddk,1.75,2013,2.29,0HN
core,4jsz,1.90,2013,2.3,FB2
core,3g2z,1.50,2009,2.36,GZ2
core,3dxg,1.39,2009,2.4,U5P
core,3l7b,2.00,2010,2.4,DKZ
core,3gr2,1.80,2009,2.52,GF4
core,3kgp,2.35,2009,2.57,4AZ
core,3fcq,1.75,2009,2.77,M3S
core,3lka,1.80,2010,2.82,M4S
core,3zt2,1.70,2012,2.84,ZT2
core,3udh,1.70,2012,2.85,091
core,3g31,1.70,2009,2.89,GF1
core,4llx,1.75,2014,2.89,5ZE
core,4u4s,1.90,2014,2.92,3C1
core,4owm,1.99,2014,2.96,3F0
core,5aba,1.62,2015,2.98,UL7
core,2xdl,1.98,2010,3.1,2DL
core,4kz6,1.68,2014,3.1,ZB6
core,2ymd,1.96,2012,3.16,SRO
core,3aru,1.90,2011,3.22,PNX
core,1bcu,2.00,1998,3.28,PRL
