pdb_id,lig_id,resolution,release_year,target,prot_path,lig_path,pocket_path,source,tar_path,archive_path,score_file
3ao4,833,1.95,2011,2.07,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_pocket.pdb,gnina,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/gnina/3ao4_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/gnina/score.sc
3ao4,833,1.95,2011,2.07,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_pocket.pdb,rosetta,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/rosetta/3ao4_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/rosetta/score.sc
3ao4,833,1.95,2011,2.07,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/crystal/3ao4_pocket.pdb,boltz2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/boltz.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/boltz/3ao4_boltz2_model_0.cif,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/boltz/affinity_3ao4_boltz2.json
3gv9,GV9,1.8,2009,2.12,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_pocket.pdb,gnina,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/gnina/3gv9_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/gnina/score.sc
3gv9,GV9,1.8,2009,2.12,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_pocket.pdb,rosetta,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/rosetta/3gv9_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/rosetta/score.sc
3gv9,GV9,1.8,2009,2.12,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/crystal/3gv9_pocket.pdb,boltz2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/boltz.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/boltz/3gv9_boltz2_model_0.cif,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/boltz/affinity_3gv9_boltz2.json
1uto,PEA,1.15,2004,2.27,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_pocket.pdb,gnina,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/gnina/1uto_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/gnina/score.sc
1uto,PEA,1.15,2004,2.27,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_pocket.pdb,rosetta,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/rosetta/1uto_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/rosetta/score.sc
1uto,PEA,1.15,2004,2.27,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/crystal/1uto_pocket.pdb,boltz2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/boltz.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/boltz/1uto_boltz2_model_0.cif,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/boltz/affinity_1uto_boltz2.json
1ps3,KIF,1.8,2003,2.28,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/crystal/1ps3_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/crystal/1ps3_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/crystal/1ps3_pocket.pdb,gnina,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/gnina/1ps3_POSE.pdb.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/gnina/score.sc
