pdb_id,lig_id,prot_path,lig_path,pocket_path,gnina_archive,rosetta_archive,boltz_yaml
3AO4,833,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/3ao4_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/3ao4_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/3ao4_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ao4/3ao4_boltz2.yaml
3GV9,GV9,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/3gv9_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/3gv9_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/3gv9_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gv9/3gv9_boltz2.yaml
1UTO,PEA,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/1uto_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/1uto_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/1uto_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1uto/1uto_boltz2.yaml
1PS3,KIF,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/1ps3_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/1ps3_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/1ps3_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1ps3/1ps3_boltz2.yaml
4DDK,0HN,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddk/4ddk_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddk/4ddk_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddk/4ddk_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddk/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddk/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddk/4ddk_boltz2.yaml
4JSZ,FB2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4jsz/4jsz_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4jsz/4jsz_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4jsz/4jsz_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4jsz/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4jsz/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4jsz/4jsz_boltz2.yaml
3G2Z,GZ2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2z/3g2z_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2z/3g2z_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2z/3g2z_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2z/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2z/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2z/3g2z_boltz2.yaml
3DXG,U5P,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dxg/3dxg_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dxg/3dxg_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dxg/3dxg_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dxg/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dxg/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dxg/3dxg_boltz2.yaml
3L7B,DKZ,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/3l7b_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/3l7b_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/3l7b_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3l7b/3l7b_boltz2.yaml
3GR2,GF4,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/3gr2_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/3gr2_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/3gr2_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3gr2/3gr2_boltz2.yaml
