pdbid,frame,y_true,y_pred
1a30-crystal,-1.0,-1.0,6.4901714
1bcu-crystal,-1.0,-1.0,3.4539688
1bzc-crystal,-1.0,-1.0,5.1835995
1c5z-crystal,-1.0,-1.0,3.4264991
1e66-crystal,-1.0,-1.0,8.746525
1eby-crystal,-1.0,-1.0,8.918804
1g2k-crystal,-1.0,-1.0,8.128745
1gpk-crystal,-1.0,-1.0,7.182493
1gpn-crystal,-1.0,-1.0,6.681933
1h22-crystal,-1.0,-1.0,8.895399
1h23-crystal,-1.0,-1.0,8.3129635
1k1i-crystal,-1.0,-1.0,6.6903434
1lpg-crystal,-1.0,-1.0,7.2062807
1mq6-crystal,-1.0,-1.0,9.141137
1nc1-crystal,-1.0,-1.0,6.416065
1nc3-crystal,-1.0,-1.0,4.9994226
1nvq-crystal,-1.0,-1.0,8.135973
1o0h-crystal,-1.0,-1.0,6.2627816
1o3f-crystal,-1.0,-1.0,7.868372
1o5b-crystal,-1.0,-1.0,4.689626
1owh-crystal,-1.0,-1.0,5.9806094
1oyt-crystal,-1.0,-1.0,7.948549
1p1n-crystal,-1.0,-1.0,7.0209904
1p1q-crystal,-1.0,-1.0,6.5137744
1ps3-crystal,-1.0,-1.0,5.3621464
1pxn-crystal,-1.0,-1.0,7.467581
1q8t-crystal,-1.0,-1.0,6.5765357
1q8u-crystal,-1.0,-1.0,7.6103096
1qf1-crystal,-1.0,-1.0,7.1448975
1qkt-crystal,-1.0,-1.0,6.9556828
1r5y-crystal,-1.0,-1.0,7.665912
1s38-crystal,-1.0,-1.0,6.1768627
1sqa-crystal,-1.0,-1.0,7.3693953
1syi-crystal,-1.0,-1.0,6.066801
1u1b-crystal,-1.0,-1.0,7.647375
1uto-crystal,-1.0,-1.0,2.3173332
1vso-crystal,-1.0,-1.0,3.8756669
1w4o-crystal,-1.0,-1.0,4.924224
1y6r-crystal,-1.0,-1.0,10.625639
1yc1-crystal,-1.0,-1.0,5.720105
1ydr-crystal,-1.0,-1.0,6.6590667
1ydt-crystal,-1.0,-1.0,6.4876013
1z6e-crystal,-1.0,-1.0,7.9997087
1z95-crystal,-1.0,-1.0,6.9366755
1z9g-crystal,-1.0,-1.0,5.207174
2al5-crystal,-1.0,-1.0,6.9765377
2br1-crystal,-1.0,-1.0,5.9983025
2brb-crystal,-1.0,-1.0,5.5589004
2c3i-crystal,-1.0,-1.0,7.984089
2cbv-crystal,-1.0,-1.0,5.454457
2cet-crystal,-1.0,-1.0,9.431269
2fvd-crystal,-1.0,-1.0,8.243262
2fxs-crystal,-1.0,-1.0,5.6744633
2hb1-crystal,-1.0,-1.0,4.205196
2iwx-crystal,-1.0,-1.0,6.124987
2j78-crystal,-1.0,-1.0,5.7440076
2j7h-crystal,-1.0,-1.0,6.348868
2p15-crystal,-1.0,-1.0,8.297624
2p4y-crystal,-1.0,-1.0,7.115564
2pog-crystal,-1.0,-1.0,9.473163
2qbp-crystal,-1.0,-1.0,6.879982
2qbq-crystal,-1.0,-1.0,6.9386134
2qbr-crystal,-1.0,-1.0,6.070951
2qe4-crystal,-1.0,-1.0,9.488513
2qnq-crystal,-1.0,-1.0,6.849657
2r9w-crystal,-1.0,-1.0,4.274275
2v00-crystal,-1.0,-1.0,4.469636
2v7a-crystal,-1.0,-1.0,8.159668
2vkm-crystal,-1.0,-1.0,7.6377487
2vvn-crystal,-1.0,-1.0,7.363987
2vw5-crystal,-1.0,-1.0,7.00468
2w4x-crystal,-1.0,-1.0,5.873125
2w66-crystal,-1.0,-1.0,5.6270843
2wbg-crystal,-1.0,-1.0,6.8579555
2wca-crystal,-1.0,-1.0,7.1055574
2weg-crystal,-1.0,-1.0,6.125533
2wer-crystal,-1.0,-1.0,7.1364083
2wn9-crystal,-1.0,-1.0,7.5533185
2wnc-crystal,-1.0,-1.0,5.6300235
2wtv-crystal,-1.0,-1.0,9.508597
2wvt-crystal,-1.0,-1.0,6.5342298
2x00-crystal,-1.0,-1.0,10.759188
2xb8-crystal,-1.0,-1.0,6.503852
2xbv-crystal,-1.0,-1.0,8.068196
2xdl-crystal,-1.0,-1.0,6.338322
2xii-crystal,-1.0,-1.0,8.047213
2xj7-crystal,-1.0,-1.0,4.790333
2xnb-crystal,-1.0,-1.0,6.943892
2xys-crystal,-1.0,-1.0,9.318953
2y5h-crystal,-1.0,-1.0,7.1813326
2yfe-crystal,-1.0,-1.0,7.0351663
2yge-crystal,-1.0,-1.0,5.757043
2yki-crystal,-1.0,-1.0,6.3747487
2ymd-crystal,-1.0,-1.0,7.1000032
2zb1-crystal,-1.0,-1.0,8.112271
2zcq-crystal,-1.0,-1.0,5.9254827
2zcr-crystal,-1.0,-1.0,7.0618157
2zda-crystal,-1.0,-1.0,8.451317
2zy1-crystal,-1.0,-1.0,6.659261
3acw-crystal,-1.0,-1.0,6.3311434
3ag9-crystal,-1.0,-1.0,6.8119416
3ao4-crystal,-1.0,-1.0,3.837561
3arp-crystal,-1.0,-1.0,7.1146455
3arq-crystal,-1.0,-1.0,7.0321355
3aru-crystal,-1.0,-1.0,3.4259903
3arv-crystal,-1.0,-1.0,6.9893885
3ary-crystal,-1.0,-1.0,5.9252753
3b1m-crystal,-1.0,-1.0,6.8077474
3b27-crystal,-1.0,-1.0,4.6818275
3b5r-crystal,-1.0,-1.0,7.3069987
3b65-crystal,-1.0,-1.0,7.8071737
3b68-crystal,-1.0,-1.0,8.127089
3bgz-crystal,-1.0,-1.0,7.460291
3bv9-crystal,-1.0,-1.0,6.898643
3cj4-crystal,-1.0,-1.0,5.5059752
3coy-crystal,-1.0,-1.0,7.000442
3coz-crystal,-1.0,-1.0,6.739845
3d4z-crystal,-1.0,-1.0,5.3416786
3d6q-crystal,-1.0,-1.0,3.9396732
3dd0-crystal,-1.0,-1.0,8.234104
3dx1-crystal,-1.0,-1.0,6.7278557
3dx2-crystal,-1.0,-1.0,6.763941
3dxg-crystal,-1.0,-1.0,3.1293082
3e5a-crystal,-1.0,-1.0,7.4472036
3e92-crystal,-1.0,-1.0,9.146817
3e93-crystal,-1.0,-1.0,7.543011
3ebp-crystal,-1.0,-1.0,5.607654
3ehy-crystal,-1.0,-1.0,5.713146
3ejr-crystal,-1.0,-1.0,6.57514
3f3a-crystal,-1.0,-1.0,4.6064734
3f3c-crystal,-1.0,-1.0,5.03876
3f3d-crystal,-1.0,-1.0,6.961187
3f3e-crystal,-1.0,-1.0,7.4242315
3fcq-crystal,-1.0,-1.0,4.3376245
3fur-crystal,-1.0,-1.0,8.01589
3fv1-crystal,-1.0,-1.0,9.075773
3fv2-crystal,-1.0,-1.0,8.48593
3g0w-crystal,-1.0,-1.0,8.333304
3g2n-crystal,-1.0,-1.0,5.455229
3g2z-crystal,-1.0,-1.0,3.229915
3g31-crystal,-1.0,-1.0,2.422967
3gbb-crystal,-1.0,-1.0,7.9945545
3gc5-crystal,-1.0,-1.0,7.803205
3ge7-crystal,-1.0,-1.0,7.712528
3gnw-crystal,-1.0,-1.0,8.135267
3gr2-crystal,-1.0,-1.0,2.2526832
3gv9-crystal,-1.0,-1.0,3.3946972
3gy4-crystal,-1.0,-1.0,4.277574
3ivg-crystal,-1.0,-1.0,5.9187965
3jvr-crystal,-1.0,-1.0,4.8066783
3jvs-crystal,-1.0,-1.0,6.212611
3jya-crystal,-1.0,-1.0,6.2868366
3k5v-crystal,-1.0,-1.0,5.301268
3kgp-crystal,-1.0,-1.0,2.9150052
3kr8-crystal,-1.0,-1.0,7.628136
3kwa-crystal,-1.0,-1.0,5.761715
3l7b-crystal,-1.0,-1.0,2.1277065
3lka-crystal,-1.0,-1.0,7.1817636
3mss-crystal,-1.0,-1.0,4.9748845
3myg-crystal,-1.0,-1.0,7.6829753
3n76-crystal,-1.0,-1.0,6.3255816
3n7a-crystal,-1.0,-1.0,4.945534
3n86-crystal,-1.0,-1.0,6.464317
3nq9-crystal,-1.0,-1.0,4.3698807
3nw9-crystal,-1.0,-1.0,8.429131
3nx7-crystal,-1.0,-1.0,7.7739954
3o9i-crystal,-1.0,-1.0,10.826757
3oe4-crystal,-1.0,-1.0,6.6476836
3oe5-crystal,-1.0,-1.0,6.508925
3ozs-crystal,-1.0,-1.0,6.425525
3ozt-crystal,-1.0,-1.0,6.068881
3p5o-crystal,-1.0,-1.0,7.3706512
3prs-crystal,-1.0,-1.0,7.847887
3pww-crystal,-1.0,-1.0,7.625672
3pxf-crystal,-1.0,-1.0,5.409149
3pyy-crystal,-1.0,-1.0,7.023368
3qgy-crystal,-1.0,-1.0,6.368594
3qqs-crystal,-1.0,-1.0,5.438921
3r88-crystal,-1.0,-1.0,4.070053
3rlr-crystal,-1.0,-1.0,7.8608885
3rr4-crystal,-1.0,-1.0,5.7955284
3rsx-crystal,-1.0,-1.0,4.925062
3ryj-crystal,-1.0,-1.0,8.264721
3syr-crystal,-1.0,-1.0,3.8570497
3tsk-crystal,-1.0,-1.0,7.8725595
3twp-crystal,-1.0,-1.0,4.5318522
3u5j-crystal,-1.0,-1.0,5.388523
3u8k-crystal,-1.0,-1.0,7.3238244
3u8n-crystal,-1.0,-1.0,8.965701
3u9q-crystal,-1.0,-1.0,4.318279
3udh-crystal,-1.0,-1.0,3.340133
3ueu-crystal,-1.0,-1.0,5.2717814
3uev-crystal,-1.0,-1.0,6.287101
3uew-crystal,-1.0,-1.0,6.069049
3uex-crystal,-1.0,-1.0,6.0647473
3ui7-crystal,-1.0,-1.0,8.567695
3uo4-crystal,-1.0,-1.0,8.527638
3up2-crystal,-1.0,-1.0,7.7918205
3uri-crystal,-1.0,-1.0,5.610416
3utu-crystal,-1.0,-1.0,9.072772
3uuo-crystal,-1.0,-1.0,6.8051586
3wtj-crystal,-1.0,-1.0,7.4971056
3wz8-crystal,-1.0,-1.0,6.1010003
3zdg-crystal,-1.0,-1.0,5.327615
3zso-crystal,-1.0,-1.0,5.3928466
3zsx-crystal,-1.0,-1.0,3.1053956
3zt2-crystal,-1.0,-1.0,2.728038
4abg-crystal,-1.0,-1.0,2.7968693
4agn-crystal,-1.0,-1.0,4.305176
4agp-crystal,-1.0,-1.0,4.354371
4agq-crystal,-1.0,-1.0,4.2189474
4bkt-crystal,-1.0,-1.0,4.3226604
4cig-crystal,-1.0,-1.0,4.9913387
4ciw-crystal,-1.0,-1.0,5.162589
4cr9-crystal,-1.0,-1.0,3.8763723
4cra-crystal,-1.0,-1.0,6.848065
4crc-crystal,-1.0,-1.0,7.2581525
4ddh-crystal,-1.0,-1.0,3.9246006
4ddk-crystal,-1.0,-1.0,2.5314467
4de1-crystal,-1.0,-1.0,5.673669
4de2-crystal,-1.0,-1.0,5.194589
4de3-crystal,-1.0,-1.0,3.6955788
4djv-crystal,-1.0,-1.0,6.507013
4dld-crystal,-1.0,-1.0,5.182625
4dli-crystal,-1.0,-1.0,6.9547286
4e5w-crystal,-1.0,-1.0,7.5400867
4e6q-crystal,-1.0,-1.0,7.1662145
4ea2-crystal,-1.0,-1.0,6.1992273
4eky-crystal,-1.0,-1.0,4.423381
4eo8-crystal,-1.0,-1.0,8.472187
4eor-crystal,-1.0,-1.0,4.8908916
4f09-crystal,-1.0,-1.0,7.2126393
4f2w-crystal,-1.0,-1.0,10.776295
4f3c-crystal,-1.0,-1.0,11.849458
4f9w-crystal,-1.0,-1.0,6.7141685
4gfm-crystal,-1.0,-1.0,6.6005397
4gid-crystal,-1.0,-1.0,8.550702
4gkm-crystal,-1.0,-1.0,5.688754
4gr0-crystal,-1.0,-1.0,9.161495
4hge-crystal,-1.0,-1.0,7.144956
4ih5-crystal,-1.0,-1.0,4.329673
4ih7-crystal,-1.0,-1.0,4.33568
4ivb-crystal,-1.0,-1.0,7.765025
4ivc-crystal,-1.0,-1.0,8.614848
4ivd-crystal,-1.0,-1.0,8.952942
4j21-crystal,-1.0,-1.0,6.6183624
4j28-crystal,-1.0,-1.0,4.371455
4j3l-crystal,-1.0,-1.0,6.856681
4jfs-crystal,-1.0,-1.0,7.101909
4jia-crystal,-1.0,-1.0,8.084147
