pdbid,frame,t_infer_s
1a30-crystal,-1.0,0.08703670650720596
1bcu-crystal,-1.0,0.08703670650720596
1bzc-crystal,-1.0,0.08703670650720596
1c5z-crystal,-1.0,0.08703670650720596
1e66-crystal,-1.0,0.08703670650720596
1eby-crystal,-1.0,0.08703670650720596
1g2k-crystal,-1.0,0.08703670650720596
1gpk-crystal,-1.0,0.08703670650720596
1gpn-crystal,-1.0,0.08703670650720596
1h22-crystal,-1.0,0.08703670650720596
1h23-crystal,-1.0,0.08703670650720596
1k1i-crystal,-1.0,0.08703670650720596
1lpg-crystal,-1.0,0.08703670650720596
1mq6-crystal,-1.0,0.08703670650720596
1nc1-crystal,-1.0,0.08703670650720596
1nc3-crystal,-1.0,0.08703670650720596
1nvq-crystal,-1.0,0.010769693180918694
1o0h-crystal,-1.0,0.010769693180918694
1o3f-crystal,-1.0,0.010769693180918694
1o5b-crystal,-1.0,0.010769693180918694
1owh-crystal,-1.0,0.010769693180918694
1oyt-crystal,-1.0,0.010769693180918694
1p1n-crystal,-1.0,0.010769693180918694
1p1q-crystal,-1.0,0.010769693180918694
1ps3-crystal,-1.0,0.010769693180918694
1pxn-crystal,-1.0,0.010769693180918694
1q8t-crystal,-1.0,0.010769693180918694
1q8u-crystal,-1.0,0.010769693180918694
1qf1-crystal,-1.0,0.010769693180918694
1qkt-crystal,-1.0,0.010769693180918694
1r5y-crystal,-1.0,0.010769693180918694
1s38-crystal,-1.0,0.010769693180918694
1sqa-crystal,-1.0,0.08419955335557461
1syi-crystal,-1.0,0.08419955335557461
1u1b-crystal,-1.0,0.08419955335557461
1uto-crystal,-1.0,0.08419955335557461
1vso-crystal,-1.0,0.08419955335557461
1w4o-crystal,-1.0,0.08419955335557461
1y6r-crystal,-1.0,0.08419955335557461
1yc1-crystal,-1.0,0.08419955335557461
1ydr-crystal,-1.0,0.08419955335557461
1ydt-crystal,-1.0,0.08419955335557461
1z6e-crystal,-1.0,0.08419955335557461
1z95-crystal,-1.0,0.08419955335557461
1z9g-crystal,-1.0,0.08419955335557461
2al5-crystal,-1.0,0.08419955335557461
2br1-crystal,-1.0,0.08419955335557461
2brb-crystal,-1.0,0.08419955335557461
2c3i-crystal,-1.0,0.009235905483365059
2cbv-crystal,-1.0,0.009235905483365059
2cet-crystal,-1.0,0.009235905483365059
2fvd-crystal,-1.0,0.009235905483365059
2fxs-crystal,-1.0,0.009235905483365059
2hb1-crystal,-1.0,0.009235905483365059
2iwx-crystal,-1.0,0.009235905483365059
2j78-crystal,-1.0,0.009235905483365059
2j7h-crystal,-1.0,0.009235905483365059
2p15-crystal,-1.0,0.009235905483365059
2p4y-crystal,-1.0,0.009235905483365059
2pog-crystal,-1.0,0.009235905483365059
2qbp-crystal,-1.0,0.009235905483365059
2qbq-crystal,-1.0,0.009235905483365059
2qbr-crystal,-1.0,0.009235905483365059
2qe4-crystal,-1.0,0.009235905483365059
2qnq-crystal,-1.0,0.01753593236207962
2r9w-crystal,-1.0,0.01753593236207962
2v00-crystal,-1.0,0.01753593236207962
2v7a-crystal,-1.0,0.01753593236207962
2vkm-crystal,-1.0,0.01753593236207962
2vvn-crystal,-1.0,0.01753593236207962
2vw5-crystal,-1.0,0.01753593236207962
2w4x-crystal,-1.0,0.01753593236207962
2w66-crystal,-1.0,0.01753593236207962
2wbg-crystal,-1.0,0.01753593236207962
2wca-crystal,-1.0,0.01753593236207962
2weg-crystal,-1.0,0.01753593236207962
2wer-crystal,-1.0,0.01753593236207962
2wn9-crystal,-1.0,0.01753593236207962
2wnc-crystal,-1.0,0.01753593236207962
2wtv-crystal,-1.0,0.01753593236207962
2wvt-crystal,-1.0,0.013564623892307281
2x00-crystal,-1.0,0.013564623892307281
2xb8-crystal,-1.0,0.013564623892307281
2xbv-crystal,-1.0,0.013564623892307281
2xdl-crystal,-1.0,0.013564623892307281
2xii-crystal,-1.0,0.013564623892307281
2xj7-crystal,-1.0,0.013564623892307281
2xnb-crystal,-1.0,0.013564623892307281
2xys-crystal,-1.0,0.013564623892307281
2y5h-crystal,-1.0,0.013564623892307281
2yfe-crystal,-1.0,0.013564623892307281
2yge-crystal,-1.0,0.013564623892307281
2yki-crystal,-1.0,0.013564623892307281
2ymd-crystal,-1.0,0.013564623892307281
2zb1-crystal,-1.0,0.013564623892307281
2zcq-crystal,-1.0,0.013564623892307281
2zcr-crystal,-1.0,0.014179017394781113
2zda-crystal,-1.0,0.014179017394781113
2zy1-crystal,-1.0,0.014179017394781113
3acw-crystal,-1.0,0.014179017394781113
3ag9-crystal,-1.0,0.014179017394781113
3ao4-crystal,-1.0,0.014179017394781113
3arp-crystal,-1.0,0.014179017394781113
3arq-crystal,-1.0,0.014179017394781113
3aru-crystal,-1.0,0.014179017394781113
3arv-crystal,-1.0,0.014179017394781113
3ary-crystal,-1.0,0.014179017394781113
3b1m-crystal,-1.0,0.014179017394781113
3b27-crystal,-1.0,0.014179017394781113
3b5r-crystal,-1.0,0.014179017394781113
3b65-crystal,-1.0,0.014179017394781113
3b68-crystal,-1.0,0.014179017394781113
3bgz-crystal,-1.0,0.008077476173639297
3bv9-crystal,-1.0,0.008077476173639297
3cj4-crystal,-1.0,0.008077476173639297
