name,prediction,t_total_s,model
1p1n-crystal,6.435,5.335548,OnionNet-2
1p1n-gnina-0058,4.274,3.906231,OnionNet-2
1p1n-gnina-0017,4.652,3.953964,OnionNet-2
1p1n-gnina-0097,4.792,4.083897,OnionNet-2
1p1n-gnina-0095,4.406000000000001,3.958693,OnionNet-2
1p1n-gnina-0089,3.864,4.061805,OnionNet-2
1p1n-gnina-0085,3.765,3.799722,OnionNet-2
1p1n-gnina-0062,3.841,3.83283,OnionNet-2
1p1n-gnina-0069,4.535,3.862331,OnionNet-2
1p1n-gnina-0030,4.685,3.836035,OnionNet-2
1p1n-gnina-0049,4.004,3.768422,OnionNet-2
1p1n-gnina-0036,3.8939999999999997,3.905266,OnionNet-2
1p1n-gnina-0059,4.835,3.842188,OnionNet-2
1p1n-gnina-0094,4.059,3.826463,OnionNet-2
1p1n-gnina-0067,4.497,3.891876,OnionNet-2
1p1n-gnina-0029,3.8569999999999998,4.037386,OnionNet-2
1p1n-gnina-0042,4.4510000000000005,3.989992,OnionNet-2
1p1n-gnina-0043,4.045,3.878508,OnionNet-2
1p1n-gnina-0061,4.162,3.850339,OnionNet-2
1p1n-gnina-0084,3.9619999999999997,3.894337,OnionNet-2
1p1n-gnina-0077,4.627,3.874597,OnionNet-2
1p1n-gnina-0056,4.477,4.054818,OnionNet-2
1p1n-gnina-0007,4.281000000000001,3.982216,OnionNet-2
1p1n-gnina-0003,5.997999999999999,3.934894,OnionNet-2
1p1n-gnina-0005,5.513999999999999,3.920752,OnionNet-2
1p1n-gnina-0078,5.046,4.059625,OnionNet-2
1p1n-gnina-0022,5.43,4.014207,OnionNet-2
1p1n-gnina-0032,4.106,3.973925,OnionNet-2
1p1n-gnina-0072,4.43,3.839836,OnionNet-2
1p1n-gnina-0045,4.658,3.876766,OnionNet-2
1p1n-gnina-0074,4.093999999999999,3.908177,OnionNet-2
1p1n-gnina-0033,4.724,3.912448,OnionNet-2
1p1n-gnina-0023,3.9739999999999998,3.773608,OnionNet-2
1p1n-gnina-0024,4.085,3.845325,OnionNet-2
1p1n-gnina-0008,4.133,3.884924,OnionNet-2
1p1n-gnina-0002,5.976,3.873559,OnionNet-2
1p1n-gnina-0079,4.102,3.884001,OnionNet-2
1p1n-gnina-0025,4.507,3.869716,OnionNet-2
1p1n-gnina-0010,4.328,3.953249,OnionNet-2
1p1n-gnina-0054,3.3680000000000003,3.933688,OnionNet-2
1p1n-gnina-0064,4.225,3.831122,OnionNet-2
1p1n-gnina-0018,4.356,4.014549,OnionNet-2
1p1n-gnina-0073,3.815,3.982656,OnionNet-2
1p1n-gnina-0055,4.788,3.990908,OnionNet-2
1p1n-gnina-0048,3.713,4.150696,OnionNet-2
1p1n-gnina-0070,4.204,3.979739,OnionNet-2
1p1n-gnina-0088,4.789,4.70105,OnionNet-2
1p1n-gnina-0040,3.345,3.850563,OnionNet-2
1p1n-gnina-0027,3.386,3.828032,OnionNet-2
1p1n-gnina-0050,4.564,4.049398,OnionNet-2
1p1n-gnina-0041,4.473,4.085488,OnionNet-2
1p1n-gnina-0011,4.275,3.975841,OnionNet-2
1p1n-gnina-0080,4.492,3.94531,OnionNet-2
1p1n-gnina-0047,4.323,4.054709,OnionNet-2
1p1n-gnina-0019,4.971,3.984489,OnionNet-2
1p1n-gnina-0028,4.531000000000001,3.898429,OnionNet-2
1p1n-gnina-0015,3.451,4.001091,OnionNet-2
1p1n-gnina-0060,4.409,3.73503,OnionNet-2
1p1n-gnina-0001,6.285,4.021695,OnionNet-2
1p1n-gnina-0090,4.614,4.053424,OnionNet-2
1p1n-gnina-0091,4.271,4.136005,OnionNet-2
1p1n-gnina-0081,4.896,4.969743,OnionNet-2
1p1n-gnina-0071,4.758,3.941972,OnionNet-2
1p1n-gnina-0037,4.635,3.933427,OnionNet-2
1p1n-gnina-0009,4.207,3.957883,OnionNet-2
1p1n-gnina-0063,5.686,3.943197,OnionNet-2
1p1n-gnina-0006,5.672000000000001,4.064172,OnionNet-2
1p1n-gnina-0051,3.545,4.10273,OnionNet-2
1p1n-gnina-0075,3.905,4.033293,OnionNet-2
1p1n-gnina-0016,3.9160000000000004,3.959643,OnionNet-2
1p1n-gnina-0053,3.7739999999999996,3.909838,OnionNet-2
1p1n-gnina-0026,4.35,3.963577,OnionNet-2
1p1n-gnina-0068,4.937,3.879624,OnionNet-2
1p1n-gnina-0013,4.678999999999999,4.019339,OnionNet-2
1p1n-gnina-0020,4.372,3.733011,OnionNet-2
1p1n-gnina-0014,5.372000000000001,3.950828,OnionNet-2
1p1n-gnina-0093,3.325,5.067565,OnionNet-2
1p1n-gnina-0098,4.742,4.012964,OnionNet-2
1p1n-gnina-0044,4.387,4.111515,OnionNet-2
1p1n-gnina-0034,4.871,4.118486,OnionNet-2
1p1n-gnina-0066,4.476,4.078759,OnionNet-2
1p1n-gnina-0052,4.989,4.021007,OnionNet-2
1p1n-gnina-0096,4.033,3.933478,OnionNet-2
1p1n-gnina-0087,3.8560000000000003,4.1969,OnionNet-2
1p1n-gnina-0092,4.221,4.081501,OnionNet-2
1p1n-gnina-0083,4.65,4.124959,OnionNet-2
1p1n-gnina-0057,3.878,4.215339,OnionNet-2
1p1n-gnina-0100,5.084,4.026045,OnionNet-2
1p1n-gnina-0012,4.07,4.162891,OnionNet-2
