name,prediction,t_prep_s,t_infer_s
1a30-boltz,5.0344267,0.047462,0.093079
1a30-crystal,5.994995,0.04464,0.093079
1a30-rosetta-0027,5.7464323,0.075315,0.093079
1a30-rosetta-0035,5.704317,0.088674,0.093079
1a30-rosetta-0037,5.4536095,0.461757,0.093079
1a30-rosetta-0059,5.630474,0.078173,0.093079
1a30-rosetta-0080,6.240323,0.079247,0.093079
1a30-rosetta-0081,5.7616158,0.077829,0.093079
1a30-rosetta-0094,5.955616,0.104602,0.093079
1a30-rosetta-0104,5.8796244,0.08402,0.093079
1a30-rosetta-0108,6.4518433,0.088618,0.093079
1a30-rosetta-0119,6.344392,0.106194,0.093079
1a30-rosetta-0135,5.709221,0.084426,0.093079
1a30-rosetta-0137,6.229164,0.075277,0.093079
1a30-rosetta-0144,5.6743,0.086834,0.093079
1a30-rosetta-0145,5.9601583,0.106466,0.093079
1a30-rosetta-0171,5.360959,0.105448,0.093079
1a30-rosetta-0193,6.237756,0.075741,0.093079
1a30-rosetta-0196,5.336989,0.103169,0.093079
1a30-rosetta-0206,6.055113,0.0896,0.093079
1a30-rosetta-0214,5.386772,0.085009,0.08543
1a30-rosetta-0227,5.8288536,0.106462,0.08543
1a30-rosetta-0235,5.9302635,0.099992,0.08543
1a30-rosetta-0243,5.2672653,0.094274,0.08543
1a30-rosetta-0248,6.0481033,0.106498,0.08543
1a30-rosetta-0265,5.569933,0.105004,0.08543
1a30-rosetta-0280,5.6315937,0.105037,0.08543
1a30-rosetta-0284,5.585412,0.087082,0.08543
1a30-rosetta-0289,5.230849,0.093832,0.08543
1a30-rosetta-0291,5.9381847,0.078226,0.08543
1a30-rosetta-0293,6.636875,0.080155,0.08543
1a30-rosetta-0296,5.4657383,0.092438,0.08543
1a30-rosetta-0306,6.487295,0.113386,0.08543
1a30-rosetta-0311,5.8303967,0.078019,0.08543
1a30-rosetta-0316,6.4649134,0.099211,0.08543
1a30-rosetta-0325,5.9694395,0.097779,0.08543
1a30-rosetta-0329,5.3001747,0.089696,0.08543
1a30-rosetta-0331,5.707444,0.088823,0.08543
1a30-rosetta-0335,6.3671923,0.103405,0.08543
1a30-rosetta-0381,5.4937067,0.104242,0.08543
1a30-rosetta-0384,5.610832,0.075398,0.085185
1a30-rosetta-0386,5.933651,0.086153,0.085185
1a30-rosetta-0402,6.3250256,0.131489,0.085185
1a30-rosetta-0427,5.5914965,0.073871,0.085185
1a30-rosetta-0433,5.507306,0.085963,0.085185
1a30-rosetta-0450,5.859329,0.085556,0.085185
1a30-rosetta-0481,5.5924397,0.11436,0.085185
1a30-rosetta-0488,6.143218,0.102398,0.085185
1a30-rosetta-0489,5.832098,0.111595,0.085185
1a30-rosetta-0496,5.296817,0.099632,0.085185
1a30-rosetta-0500,6.2176857,0.119814,0.085185
1a30-rosetta-0525,5.62638,0.108626,0.085185
1a30-rosetta-0532,5.6112585,0.100764,0.085185
1a30-rosetta-0554,5.699069,0.10222,0.085185
1a30-rosetta-0557,5.7743225,0.08696,0.085185
1a30-rosetta-0559,5.4273396,0.103265,0.085185
1a30-rosetta-0567,6.818424,0.075746,0.085185
1a30-rosetta-0577,5.6821175,0.116388,0.085185
1a30-rosetta-0583,5.637945,0.103934,0.085185
1a30-rosetta-0594,6.062334,0.093898,0.085185
1a30-rosetta-0601,6.1057568,0.096685,0.084998
1a30-rosetta-0602,5.943774,0.112129,0.084998
1a30-rosetta-0605,5.5734596,0.100321,0.084998
1a30-rosetta-0614,5.592518,0.077299,0.084998
1a30-rosetta-0624,5.7032566,0.11859,0.084998
1a30-rosetta-0653,6.2431955,0.085472,0.084998
